PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH,FPD10_PJ,LOSS_RATE_PJ,LA in Bio
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/12/2022,0.0931,0.3450,7.7
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/01/2023,0.0673,0.3096,7.2
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/02/2023,0.0640,0.3046,14.7
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/03/2023,0.0738,0.3191,17.6
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/04/2023,0.0559,0.2790,18.4
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/05/2023,0.0520,0.2693,15.9
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/12/2022,0.0369,0.2232,23.9
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/01/2023,0.0225,0.1777,13.2
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/02/2023,0.0465,0.2584,25.0
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/03/2023,0.0425,0.2408,19.4
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/04/2023,0.0094,0.1035,2.8
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/12/2022,0.0000,0.0000,0.0
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/03/2023,0.0123,0.1332,0.8
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/04/2023,0.0780,0.3247,1.6
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/12/2022,0.0750,0.3208,17.6
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/01/2023,0.0668,0.3089,11.5
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/02/2023,0.0899,0.3427,17.9
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/03/2023,0.0833,0.3315,15.1
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/04/2023,0.0288,0.2006,5.0
GOODBANK,PLNLG,B@W,3P-DSA,01/12/2022,0.0332,0.1816,1.2
GOODBANK,PLNLG,B@W,3P-DSA,01/01/2023,0.0492,0.2243,3.0
GOODBANK,PLNLG,B@W,3P-DSA,01/02/2023,0.0280,0.1684,3.1
GOODBANK,PLNLG,B@W,3P-DSA,01/03/2023,0.1401,0.4318,0.7
GOODBANK,PLNLG,B@W,IH-DSA,01/12/2022,0.0464,0.2195,25.9
GOODBANK,PLNLG,B@W,IH-DSA,01/01/2023,0.0466,0.2199,27.0
GOODBANK,PLNLG,B@W,IH-DSA,01/02/2023,0.0381,0.1924,17.7
GOODBANK,PLNLG,B@W,IH-DSA,01/03/2023,0.0000,0.0000,0.1
GOODBANK,PLNLG,B@W,IH-POS,01/12/2022,0.0514,0.2279,4.4
GOODBANK,PLNLG,B@W,IH-POS,01/01/2023,0.0328,0.1808,7.2
GOODBANK,PLNLG,B@W,IH-POS,01/02/2023,0.0292,0.1717,5.1
GOODBANK,PLNLG,B@W,IH-POS,01/03/2023,0.0595,0.2449,0.7
GOODBANK,PLNLG,B@W,Unidentified,01/03/2023,0.0000,0.0000,0.0
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/12/2022,0.1079,0.3650,34.5
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/01/2023,0.1170,0.3771,68.6
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/02/2023,0.1405,0.4330,79.6
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/03/2023,0.1520,0.4683,94.5
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/04/2023,0.1324,0.4079,110.8
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/05/2023,0.0953,0.3436,132.1
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/02/2023,0.1774,0.5468,0.7
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/03/2023,0.0644,0.2595,5.6
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/04/2023,0.0631,0.2575,9.9
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/05/2023,0.0678,0.2640,11.6
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/12/2022,0.0801,0.2916,331.8
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/01/2023,0.0707,0.2675,450.4
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/02/2023,0.0854,0.3110,485.3
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/03/2023,0.0902,0.3286,530.1
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/04/2023,0.0794,0.2892,517.5
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/05/2023,0.0665,0.2622,556.0
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/12/2022,0.0647,0.2599,62.8
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/01/2023,0.0505,0.2264,91.9
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/02/2023,0.0655,0.2610,110.2
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/03/2023,0.0742,0.2718,137.2
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/04/2023,0.0589,0.2428,139.5
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/05/2023,0.0479,0.2221,151.7
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/12/2022,0.1133,0.3759,9.9
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/01/2023,0.0591,0.2434,10.8
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/02/2023,0.0822,0.2993,14.2
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/03/2023,0.0675,0.2635,40.7
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/04/2023,0.0581,0.2398,49.8
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/05/2023,0.0395,0.1953,62.0
