PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH, LOSS_RATE_PJ , LA in Bio 
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/01/2023, 0.130700 ," 4,623,352,000 "
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/02/2023, 0.079839 ," 1,934,390,000 "
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/03/2023, 0.132328 ," 2,287,959,000 "
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/04/2023, 0.100893 ," 1,268,972,000 "
GOODBANK,TW,UNIFIED NONLG,3P-DSA,01/01/2023, -   ," 10,000,000 "
GOODBANK,TW,UNIFIED NONLG,IH-DSA,01/01/2023, -   ," 20,000,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/12/2022, 0.248843 ," 1,849,258,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/01/2023, 0.198235 ," 2,172,343,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/02/2023, 0.300607 ," 1,588,248,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/03/2023, 0.258034 ," 2,007,656,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/04/2023, 0.220213 ," 2,417,847,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/05/2023, -   ," 2,043,669,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/12/2022, 0.236919 ," 36,802,917,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/01/2023, 0.193978 ," 33,010,240,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/02/2023, 0.231620 ," 21,431,034,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/03/2023, 0.210821 ," 24,371,778,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/04/2023, 0.202242 ," 18,725,391,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/05/2023, 0.165732 ," 16,513,437,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/12/2022, 0.236602 ," 16,243,994,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/01/2023, 0.176711 ," 15,607,493,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/02/2023, 0.229995 ," 9,255,480,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/03/2023, 0.216901 ," 9,748,017,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/04/2023, 0.232836 ," 9,305,704,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/05/2023, 0.225256 ," 5,991,390,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/12/2022, 0.221573 ," 8,693,973,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/01/2023, 0.170647 ," 9,982,963,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/02/2023, 0.161745 ," 6,666,649,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/03/2023, 0.170047 ," 5,428,153,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/04/2023, 0.146838 ," 5,316,172,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/05/2023, -   ," 3,074,608,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/12/2022, 0.233825 ," 83,903,416,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/01/2023, 0.211631 ," 59,235,987,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/02/2023, 0.221801 ," 32,172,595,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/03/2023, 0.226748 ," 34,477,843,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/04/2023, 0.191186 ," 28,264,788,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/05/2023, 0.173996 ," 20,255,408,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/12/2022, 0.189512 ," 21,061,308,000 "
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/01/2023, 0.189086 ," 14,037,327,000 "
